,pareto
0,0.29571503293238693
1,0.367587888046564
2,0.3379404008653478
3,0.311910160404536
4,0.33203699398101905
5,0.3362340497127714
6,0.3524165631264005
7,0.3166894744119119
8,0.3701344381101393
9,0.35542300598581744
10,0.3392287130612699
11,0.3438841373070878
12,0.31964540304754496
13,0.34680932109872825
14,0.3211435864606504
15,0.32091247984248134
16,0.32794227530256664
17,0.31541278598662553
18,0.3657413875599403
19,0.2924822930567999
20,0.3476711041063512
21,0.28156307407183323
22,0.32213483436603024
23,0.3290036933788608
24,0.35791214156053874
25,0.29618326224185876
26,0.29335717013994145
27,0.36224108641261793
28,0.2739387178727256
29,0.34201616267366236
30,0.32962959448893264
31,0.3869001059605471
32,0.32616409192022555
33,0.35537468988380655
34,0.3103569387333649
35,0.29871189727651126
36,0.31748086795164226
37,0.3330892761059681
38,0.36976788729610066
39,0.373679676195351
40,0.3159223772352417
41,0.3855171400061647
42,0.3074525083376043
43,0.37657269080296196
44,0.3658012493555431
45,0.36873606873572273
46,0.32662514413890187
47,0.3541278003889571
48,0.3720192825176697
49,0.33063543313594335
50,0.32650756372784895
51,0.3217310367853464
52,0.328110455542534
53,0.3440071969930205
54,0.32289771990092603
55,0.3406607881749197
56,0.3665769999472676
57,0.3240013811785218
58,0.3759589122169143
59,0.3093923153969951
60,0.3061274995296581
61,0.37797784915313926
62,0.31836890048520916
63,0.33002258412137947
64,0.31342994484573117
65,0.29041608981931577
66,0.3303285187969854
67,0.3044449358351252
68,0.30801355764792326
69,0.3171237064186579
70,0.34214913233387984
71,0.3426842430295561
72,0.38512664817283687
73,0.38970784682894827
74,0.2976202049943452
75,0.36421821103924024
76,0.33112463902570705
77,0.3855617423117833
78,0.3127328114325554
79,0.2979770050956892
80,0.3660005920058741
81,0.36600270902270376
82,0.3571644538607062
83,0.29642122357871864
84,0.35697893322247515
85,0.3129196229340418
86,0.3198421089581402
87,0.34542345382646517
88,0.33699462452404894
89,0.33382744195177133
90,0.32932024775664875
91,0.3548101486364861
92,0.36145429066686896
93,0.32875668255701357
94,0.3114360133643419
95,0.29185830954333786
96,0.26960506461412803
97,0.32878715031436506
98,0.2986087145340341
99,0.3502931705703101
100,0.33850300957428336
101,0.3082351125983829
102,0.33683546012069765
103,0.27350196891284534
104,0.3779104381937463
105,0.30922925717506244
106,0.3483847329556838
