,pareto
0,0.355966678882481
1,0.31187739380989216
2,0.3894142066609661
3,0.314059513526726
4,0.2655676122776838
5,0.2795567155032916
6,0.3737079110425308
7,0.33717386261745197
8,0.3729297351369541
9,0.31770316979334284
10,0.33080238616654734
11,0.3870635054857973
12,0.3713856222947197
13,0.2997728376415227
14,0.33521647109476166
15,0.3339036089180109
16,0.31977251409587265
17,0.33350771429916926
18,0.32001858171464564
19,0.3184127361159773
20,0.3161614819807255
21,0.33935590687122885
22,0.33312518227662263
23,0.3720380867375231
24,0.32964315790641474
25,0.3551916129590516
26,0.31665365257345857
27,0.3586247362495013
28,0.34259754853715185
29,0.36987313645142067
30,0.3402068044184797
31,0.3600357820689396
32,0.26403150662750813
33,0.3415183858998782
34,0.3361747506171634
35,0.3931093051616483
36,0.352205692186121
37,0.3372172751917864
38,0.32526903573905797
39,0.3350671537560964
40,0.3720181502077685
41,0.27506616553525937
42,0.34751208337245665
43,0.34513279495732385
44,0.31372655260636423
45,0.3566021473616245
46,0.3194716215819449
47,0.3447870398224797
48,0.36126738248389917
49,0.3960268259759605
50,0.36664887340986657
51,0.4095347726022652
52,0.33863205565105176
53,0.2883302112802712
54,0.30382481757287927
55,0.3154285543217842
56,0.40149947328531355
57,0.2896681457095865
58,0.332378928342509
59,0.33407020376677155
60,0.3211923258581183
61,0.3179125596451572
62,0.3249736678896989
63,0.33731077868800163
64,0.30566761481730587
65,0.2969672436621857
66,0.3127673411639385
67,0.3489939023927367
68,0.3221931913886976
69,0.35985124944583097
70,0.30261568316314336
71,0.27437206857482616
72,0.359608117565726
73,0.40848052597712636
74,0.37565243779326823
75,0.29338261631420587
76,0.336782609098989
77,0.3525169030795674
78,0.310995267978368
79,0.3273921239182967
80,0.30846150091351243
81,0.36688802568156337
82,0.3373436467698885
83,0.3402776685023013
84,0.3340822022176552
85,0.34035356967935154
86,0.3138406475082538
87,0.31527506331594296
88,0.3490675891495696
89,0.34561859775468956
90,0.35880666244417575
91,0.30707363383685693
92,0.3511561762666213
93,0.38119047980701326
94,0.3856689638602973
95,0.3440653347634428
96,0.3411879666543442
97,0.3540283145575724
98,0.33769279209341935
99,0.3282686061719619
100,0.344085006854425
101,0.3704308081566581
102,0.3017417738958321
103,0.28757632769800656
104,0.25955613213353657
105,0.3144313599192809
106,0.3456701396371169
107,0.30939942061778414
108,0.3446709379496217
109,0.3326568347889628
110,0.3568578224361836
111,0.3694104418002269
112,0.30317152818580323
113,0.36885088709626795
114,0.2858308373210607
115,0.3199830585282906
116,0.2989560084436905
117,0.3286688560465681
118,0.3786680733378852
119,0.3239100877732173
120,0.34442684358621606
121,0.33678022782388367
122,0.339829651087343
123,0.34520010934469714
124,0.3431124873251873
125,0.2985506707693964
126,0.36047880342623895
127,0.341181431186548
128,0.3512606289672401
129,0.362299774323022
130,0.3259733080248203
131,0.32164829525365063
132,0.3388230451679623
133,0.3749590840098179
134,0.32770759526056253
135,0.3812273124528733
136,0.27479602014302146
137,0.3327856895311435
138,0.339337790091804
139,0.3331313400208831
140,0.29432247706256176
141,0.32107459128089694
142,0.30958379399791713
143,0.3190203723158033
144,0.31554643340974453
145,0.3429088520771122
146,0.36712956740623953
147,0.32735111237827197
148,0.33699013072396006
149,0.31744540144859057
150,0.4055924413209356
151,0.34286673156231084
152,0.3249539382999436
153,0.3081130799568363
154,0.34763958117747745
155,0.371104022911872
156,0.3346918680572173
157,0.3479412150590439
158,0.3787423429084878
159,0.3555242696488505
160,0.34725768442563765
161,0.35417343587236755
162,0.3167002787500971
163,0.31483107948056677
164,0.29437751015916247
165,0.3091879992900971
166,0.2847290286182011
167,0.35708048488373606
168,0.329954799321969
169,0.3135334212649773
170,0.2958734716630028
171,0.3153882505184713
172,0.29231008910309336
173,0.3397256726118401
174,0.285246486023102
175,0.40676652520845613
176,0.3793990797877776
177,0.3521073194671634
178,0.3685286129781472
179,0.3665463351698066
180,0.3183543763224455
181,0.35774137157480473
182,0.29253425608694056
183,0.3636541914524913
184,0.35016957864054177
185,0.3301385209775734
186,0.3269070002490158
187,0.3665456539827999
188,0.31249420485257623
189,0.3139358353557369
190,0.33048432674685435
191,0.3255030837162236
192,0.31241590123698776
193,0.3442675428228635
194,0.33358927249819165
195,0.3749148218869179
196,0.3383660287370957
197,0.33773218555265216
198,0.3578883892564362
199,0.32502654848232093
