,pareto
0,0.3444069834775392
1,0.33124486817885695
2,0.33272138297326204
3,0.30192194600995587
4,0.27027433862297473
5,0.35945118771542695
6,0.3308558657995906
7,0.3537206288963544
8,0.3746974829261203
9,0.2813590644178083
10,0.29546062824898034
11,0.339651443440371
12,0.2912896300790973
13,0.3364596929009856
14,0.30880808907468976
15,0.3571964483650204
16,0.27595840968596874
17,0.3280820930345807
18,0.33223526818286886
19,0.31187694451340536
20,0.314637579643791
21,0.3563686816293871
22,0.29793179987386004
23,0.31051898211095746
24,0.34807889846631035
25,0.36328540705194706
26,0.34616259966738133
27,0.34314282269265606
28,0.2844145944548099
29,0.3511096978518528
30,0.38019379688023075
31,0.3452552456570682
32,0.2802632437838143
33,0.34655085762158144
34,0.34689941747459935
35,0.3694395524425399
36,0.3248909999377227
37,0.32357700917435994
38,0.3121236355314666
39,0.28920522052970443
40,0.3275818738710617
41,0.3050419224152529
42,0.33523789885430033
43,0.3798596430738617
44,0.3376413398790996
45,0.27901467180534884
46,0.36899132548491664
47,0.31684127025812486
48,0.3392994412991953
49,0.328045350138652
50,0.34368350287366567
51,0.322703747516713
52,0.31687468432237986
53,0.3857257665894909
54,0.3684619425708105
55,0.3598683047331397
56,0.3749255121753514
57,0.36722819625856906
58,0.2908020825740401
59,0.3577431576907627
60,0.2971966135806208
61,0.35523134459310046
62,0.3445443531638966
63,0.2915503800877045
64,0.3843870864405464
65,0.39759489028607503
66,0.3627448675885969
67,0.3485579980490048
68,0.361940040152536
69,0.33860623345410906
70,0.33075463102358094
71,0.28099022415720143
72,0.32639512440436436
73,0.2844971482639488
74,0.2737968930002899
75,0.36346637677629606
76,0.3558709335982525
77,0.3478836248925419
78,0.3151505187204322
79,0.33963857978927486
80,0.31536666749718467
81,0.3165702726195979
82,0.3226021527753801
83,0.3424860829857353
84,0.3778074865858861
85,0.3299573124818492
86,0.35007429130608436
87,0.3310020510810102
88,0.3628047147005858
89,0.31417126991412314
90,0.36565219158784984
91,0.3811479045664159
92,0.31858991852772794
93,0.3885407199272746
94,0.3146190261704035
95,0.3149270388164621
96,0.3228297803518479
97,0.33306475143553876
98,0.3406931312988248
99,0.3897017532230207
100,0.3039273198227801
101,0.3731480786596551
102,0.3497422071985022
103,0.32863404450714767
104,0.2929501495114553
105,0.3152394413449436
106,0.3647900286149034
107,0.3485682624418164
108,0.364531684714368
109,0.3161307506649193
110,0.3698693910375625
111,0.34157096157461597
112,0.32828612848422173
113,0.34295356466457333
114,0.32284646363044495
115,0.29930818125892095
116,0.36333182578839207
117,0.3275281096346895
118,0.29119004819673927
119,0.31954353087579873
120,0.30168959675365137
121,0.3459370490821471
122,0.33185931698964655
123,0.28724433716855763
124,0.36929124033838345
