,pareto
0,0.24501652884661532
1,0.4268392664220935
2,0.25741101549964546
3,0.5184544597914716
4,0.37579457837107527
5,0.4448928092486639
6,0.4272959864763819
7,0.43952369851412415
8,0.2958300166847202
9,0.3867791355822594
10,0.26536052590170206
11,0.2909634589839259
12,0.29952975584408703
13,0.24907841750989826
14,0.18808540650712924
15,0.4172362097940722
16,0.4329270579516346
17,0.2278076960656183
18,0.3119110769124733
19,0.32799997607001713
20,0.32420593326660413
21,0.3553077277150281
22,0.34645257791010037
23,0.3729962474108304
24,0.26247544376929627
25,0.2166124663930158
26,0.3573137726055582
27,0.2889918428901086
28,0.41575743013747446
29,0.33809512971058076
30,0.24943090341717333
31,0.36804558632309026
32,0.37065801625236827
33,0.4029278261571022
34,0.3456922379100566
35,0.3543803374006282
36,0.27159700619877286
37,0.38782820520532013
38,0.33800513050130776
39,0.3529631694682263
40,0.3531271289793489
41,0.37358299049020316
42,0.38333120856855357
43,0.5354491411849117
44,0.3905972422289419
45,0.33453762549677724
46,0.36916538899840984
47,0.22047403989952608
48,0.27775346806238344
49,0.4185057876673895
50,0.3835412016257268
51,0.3076585058016881
52,0.3420797046129413
53,0.2313400199619959
54,0.3307388538492732
55,0.45941632525742687
56,0.38178348377374977
57,0.3300969021137547
58,0.3083140677485143
59,0.4495996026145998
60,0.34183030543331344
61,0.4000425551163089
62,0.22842031345472516
63,0.421637788820494
64,0.44338573407771564
65,0.48728265490343003
66,0.35008170848792913
67,0.42347107011276774
68,0.375501154843044
69,0.4837319124125552
70,0.3733928402335124
71,0.3680032337882947
72,0.30446373720510006
73,0.3724047865997668
74,0.4660912359552509
75,0.5057040182270435
76,0.34339617368016634
77,0.3045229167904369
78,0.3775528883896802
79,0.36873518940317535
80,0.4443308114062931
81,0.29769611896995135
82,0.27448590942964374
83,0.46940857257973406
84,0.3115794919960608
85,0.32328806413447597
86,0.3281702250529973
87,0.3051812043979653
88,0.3401351623526098
89,0.26408277952490977
90,0.3538919807325176
91,0.3063365096449631
92,0.36473958087326996
93,0.2879022817740386
94,0.3050277707597534
95,0.25678703921932383
96,0.3301736612471766
97,0.3802769624874222
98,0.24452086446881413
99,0.24547932262172226
100,0.20849678044982928
101,0.5542696042194727
102,0.40059582726207876
103,0.46001594682859437
104,0.4212950191433624
105,0.3458437016953503
106,0.2881959440366348
107,0.2914713805444502
108,0.5687304137167087
109,0.34444826811533763
110,0.36997070009930627
111,0.3348932612505048
112,0.3493997763650994
113,0.3555572742666757
114,0.3369014130523284
115,0.2514157172780352
116,0.16669441318148576
117,0.36887543129650063
118,0.3462296413117176
119,0.4217106786921808
120,0.2649515379851001
121,0.3593242945573426
122,0.2740117245300143
123,0.3412462359852918
124,0.43989731546558114
125,0.3243068910120904
126,0.2496512448136177
127,0.31363409321829616
128,0.2891491418750368
129,0.32859849122534746
130,0.3084721043706913
131,0.2917822890439768
132,0.3731950653682012
133,0.4520663726304112
134,0.3174080927373738
135,0.3375874750797474
136,0.39083581435757253
137,0.2636110617361828
138,0.3054481627323102
139,0.2676916579731674
140,0.1524270515837711
141,0.3910920145776417
142,0.4324154234928783
143,0.38362552085571167
144,0.2853515691375294
145,0.2555383081448987
146,0.4099709155350495
147,0.21629566548304718
148,0.32960670159060124
149,0.24432150931411603
150,0.3528720212802676
151,0.23759927200643846
152,0.24170837860862343
153,0.4157185633730215
154,0.27089738103368083
155,0.30030009940278085
156,0.3284763208257453
157,0.30505627883327696
158,0.3142907191560279
159,0.39119801330189513
160,0.2890968177820832
161,0.2745070975268187
162,0.2948301630930152
163,0.4650238034042586
164,0.32127392427544915
165,0.32549262098083376
166,0.32514909711281803
167,0.2965528704671782
168,0.27340907484122995
169,0.24683900209670942
170,0.3959422096212628
171,0.3131676028510081
172,0.22925570543156584
173,0.4649607566340227
174,0.4472061049199982
175,0.29614598011389526
176,0.38479143255220183
177,0.37767541260266657
178,0.2302643591289526
179,0.38628049313440177
180,0.21932674879883024
181,0.3194005014133036
182,0.3956682627585656
183,0.3949412035306723
184,0.22497660428062108
185,0.2482715972404544
186,0.36234264172480085
187,0.22533846576452524
188,0.2850428740213368
189,0.35421980219650684
190,0.3360770130324937
191,0.3328387794981687
192,0.29541455795443056
193,0.3306616476699492
194,0.2698352445262683
195,0.20172319273128525
196,0.4186440885096245
197,0.23985732986885222
198,0.2779534595555348
199,0.2918233260797578
200,0.41027023946952285
201,0.36133315649740333
202,0.3475414046765013
203,0.35480035356037937
204,0.36264159755640707
205,0.41906656219519767
206,0.4955728169649928
207,0.3292107859854967
208,0.4127924929125423
209,0.4170868724721968
210,0.25636959067123877
211,0.40060311422460765
212,0.38833739551394925
213,0.33331229419428565
214,0.2815596279332278
215,0.3041115885395419
216,0.33505457258602844
217,0.38362750340068114
218,0.2916683917496142
219,0.28987658613817646
220,0.37250570015143536
221,0.18441560014812397
222,0.4289909672645262
223,0.5075284024175245
224,0.366614407075078
225,0.37822440836419624
226,0.29103407314550195
227,0.40119747858178395
228,0.30533883464948736
229,0.3876903250906557
230,0.3226656514741426
231,0.3686423188648636
232,0.5444293282018134
233,0.3570933234638933
234,0.3133253553627077
235,0.36569657091703833
236,0.30159419316603975
237,0.23923499383656152
238,0.25814748689022987
239,0.23536185518015215
240,0.32845321735000865
241,0.29890556500580695
242,0.28565355681201177
243,0.31775999814365496
244,0.2677594166856352
245,0.42748635937378704
246,0.4464703408008229
247,0.2279899950457834
248,0.4270829548917056
249,0.28040126721671066
250,0.30257107880686895
251,0.2534531068617599
252,0.31976208871332346
253,0.33884436960123615
254,0.4011098807430904
255,0.29932420275830496
256,0.25813898934338153
257,0.3545787248174002
258,0.3041482722037447
259,0.3590290434446802
260,0.40834808559711133
261,0.2829097768089602
262,0.332676459040828
263,0.40961460102500075
264,0.329380119868919
265,0.2453733875472564
266,0.5296463998267746
267,0.25264778609054517
268,0.3777429113429768
269,0.42843888635444416
270,0.3688974245896316
271,0.28698634820317614
272,0.3619093821243615
273,0.29171504472850607
274,0.25279572065400946
275,0.42458037224772804
276,0.21940928489936257
277,0.30268360627638796
278,0.4651863079685842
279,0.37388457437637146
280,0.4772263765790359
281,0.3446415565881695
282,0.2654523727467844
283,0.3170760535969994
284,0.3283230976571042
285,0.23753196741293117
286,0.30552564658170195
287,0.5217977333254398
288,0.48074705154529196
289,0.4636991934149184
290,0.2451780446465801
291,0.2396007263248895
292,0.4010161949181204
293,0.34860511077847933
294,0.47135095928735493
295,0.2739188610589079
296,0.19351445943051318
297,0.4003713068027268
298,0.26050148782117155
299,0.2902309947288477
300,0.39028517712657
301,0.2853078388324863
302,0.30174385549427435
303,0.23349450054529117
304,0.29367830755988183
305,0.32490177927649133
306,0.29292132191448184
307,0.23350003743720346
308,0.39836982799039616
309,0.2986282770338336
310,0.24774951774939755
311,0.46330104868744015
312,0.23295547601226088
313,0.47660469364933994
314,0.36300196607336693
315,0.3315050276088285
316,0.25405756788047706
317,0.25008777449227637
318,0.44168226884123574
319,0.32058467878602476
320,0.3900502143940046
321,0.17844996944380057
322,0.2716580174449076
323,0.31982505427544267
324,0.4165259816661926
325,0.20958134364065698
326,0.29235357977398824
327,0.36542005441725456
328,0.23678508271753848
329,0.1974473678004909
330,0.35250250625994184
331,0.31148037085486835
332,0.3495485718470429
333,0.19086219737979368
334,0.5188288925148247
335,0.3508912862733066
336,0.3257964881640676
337,0.4020342132416484
338,0.39755510528119203
339,0.32713856937539815
340,0.40031894756837993
341,0.41490961011040395
342,0.3272447918136868
343,0.3176191867857138
344,0.3008407813218129
345,0.45794592177747145
346,0.4296662051112454
347,0.30768988599134584
348,0.17674061991418916
349,0.3417148042707564
350,0.42447818241170854
351,0.38572892374760664
352,0.270177108771153
353,0.28974610277502105
354,0.275834930187466
355,0.2878301056367376
356,0.2604046264607738
357,0.41933919178700857
358,0.34637795472441996
359,0.23405375754714552
360,0.31748475174935864
361,0.33753242370831615
362,0.5593274652638675
363,0.2951731466389846
364,0.30595999654261785
365,0.29611314122390386
366,0.2734011861810316
367,0.28531925729170554
368,0.2158715690858839
369,0.20058692379405646
370,0.46753060899059
371,0.14047059328473457
372,0.21021317332573344
373,0.32604410702879416
374,0.3026583016500276
375,0.350063579906495
376,0.2512634237957215
